t;Taylor;RKN
0,0;0;0
0,1;0,005;0,00528494405105416
0,2;0,0208178141656211;0,022154246728603
0,3;0,0489013604087945;0,0518441851163707
0,4;0,09031722099011;0,0952033277983139
0,5;0,145743352416653;0,152691979818289
0,6;0,215470733071609;0,22439027335089
0,7;0,299413571590902;0,310014377373386
0,8;0,39712751784164;0,408940133551078
0,9;0,507835154120369;0,520233279186848
1,0;0,630457900288396;0,642685294382445
1,1;0,763653345904154;0,774853811905718
1,2;0,905856927340634;0,915106456447569
1,3;1,05532680011806;1,06166693614404
1,4;1,21019071732066;1,21266219393861
1,5;1,36849371441902;1,3661694394147
1,6;1,52824541883567;1,52026192233658
1,7;1,68746584826386;1,67305237587241
1,8;1,84422863354197;1,82273314832307
1,9;1,99670069767356;1,96761215459793
2,0;2,14317753970558;2,10614390964521
2,1;2,28211340750784;2,23695505214319
2,2;2,41214579351402;2,35886392425828
2,3;2,53211384836196;2,47089393821803
2,4;2,64107047506425;2,57228062874054
2,5;2,73828803668664;2,66247245787934
2,6;2,82325777932596;2,74112560151631
2,7;2,89568323535208;2,80809310065222
2,8;2,95546802547338;2,86340890213647
2,9;3,0026986185289;2,90726743920614
3,0;3,03762273167846;2,93999950923734
3,1;3,06062415795438;2,96204529198905
3,2;3,07219489054683;2,97392541440842
3,3;3,07290547185643;2,97621100640736
3,4;3,06337452898688;2,96949370515089
3,5;3,04423846530706;2,95435655317449
3,6;3,01612225995383;2,93134669854174
3,7;2,97961228426987;2,90095074434027
3,8;2,93523197738054;2,8635735117447
3,9;2,88342113419715;2,81952087783518
4,0;2,8245194504155;2,76898722901772
4,1;2,758754843361;2,71204793633219
4,2;2,68623692803253;2,64865711358368
4,3;2,60695587796885;2,57865076678124
4,4;2,52078674440598;2,50175528767747
4,5;2,42749914857423;2,41760108921399
4,6;2,32677210492676;2,32574103032121
4,7;2,21821358159296;2,22567313561739
4,8;2,10138426227961;2,1168669857255
4,9;1,9758248448493;1,9987930395149
5,0;1,84108609923245;1,87095405355211
5,1;1,69676081413093;1,73291768894818
5,2;1,54251669064419;1,58434934365733
5,3;1,37812919346839;1,42504422060451
5,4;1,20351334809287;1,25495763970312
5,5;1,01875347624783;1,07423262516558
5,6;0,824129891919271;0,88322384818709
5,7;0,620141636083477;0,682517078161506
5,8;0,407524408840788;0,472943391539179
5,9;0,187262961160205;0,255587504169274
6,0;-0,0394026672721857;0,0317897278786216
6,1;-0,270977535347686;-0,19685879793542
6,2;-0,505719127207314;-0,428527787227918
6,3;-0,741651764372909;-0,661166418671636
6,4;-0,976588074031709;-0,892528721856842
6,5;-1,2081573056717;-1,12020540936313
6,6;-1,43384011089413;-1,34166165671232
6,7;-1,65100922924102;-1,55428017159643
6,8;-1,85697536044578;-1,75540874550373
6,9;-2,0490373546412;-1,94241134862426
7,0;-2,22453572046918;-2,11272171605156
7,1;-2,38090834009551;-2,26389828274683
7,2;-2,5157471927689;-2,39367925894433
7,3;-2,62685482718959;-2,50003659855845
7,4;-2,71229928941539;-2,58122760201703
7,5;-2,77046620855669;-2,63584291247581
7,6;-2,80010676767419;-2,66284971060542
7,7;-2,8003803419989;-2,66162898746663
7,8;-2,77089067007715;-2,63200587614199
7,9;-2,711714534276;-2,5742721488896
8,0;-2,6234220632045;-2,48920013516172
8,1;-2,50708792735702;-2,37804748388792
8,2;-2,36429287747403;-2,24255237749281
8,3;-2,1971152690764;-2,08491900133755
8,4;-2,00811242230467;-1,90779327647039
8,5;-1,80029187922054;-1,71422907134711
8,6;-1,57707283653059;-1,50764531502151
8,7;-1,34223824558694;-1,29177463566432
8,8;-1,09987827881501;-1,0706043396805
8,9;-0,854326057818852;-0,848310723869596
9,0;-0,610086718923788;-0,629187871993442
9,1;-0,371761052734907;-0,41757222412467
9,2;-0,143965091709029;-0,217764319039311
9,3;0,0687528694788389;-0,0339491939966762
9,4;0,261996254532968;0,129883019588344
9,5;0,431603570796492;0,270014743308499
9,6;0,573729525628446;0,383075289928346
9,7;0,684922276650862;0,466110382477155
9,8;0,76219524846364;0,516645417710479
9,9;0,803092031106889;0,532741141380824
10,0;0,805742989650633;0,513040535322491
10,1;0,768912357711002;0,456805874936303
10,2;0,692034757692681;0,36394509713696
10,3;0,575240283819089;0,23502681957281
10,4;0,419367496700859;0,0712835678887449
10,5;0,225963906042609;-0,125397005422873
10,6;-0,00272624351226409;-0,352492894101648
10,7;-0,26378682430455;-0,606880252349888
10,8;-0,553667011463841;-0,884877168627174
10,9;-0,868230258252408;-1,1822979948954
11,0;-1,20281428544561;-1,49451731759156
11,1;-1,5523010921637;-1,81654246428756
11,2;-1,91119579706614;-2,14309326899029
11,3;-2,27371294301671;-2,46868767292187
11,4;-2,63386874888277;-2,78773161946117
11,5;-2,98557767215532;-3,09461161420178
11,6;-3,32275155806722;-3,38378826562927
11,7;-3,6393995966792;-3,64988909990371
11,8;-3,92972729012418;-3,88779895511418
11,9;-4,18823264825108;-4,09274630589688
12,0;-4,40979788195004;-4,26038394752049
12,1;-4,58977494840606;-4,38686257779657
12,2;-4,72406341964233;-4,46889595317672
12,3;-4,80917929253726;-4,5038164592568
12,4;-4,84231353197461;-4,48962012219314
12,5;-4,82137933530935;-4,42500029235247
12,6;-4,74504732182875;-4,30936945059582
12,7;-4,61276808090196;-4,14286881638063
12,8;-4,42478175229839;-3,92636567061147
12,9;-4,18211455678889;-3,661438540049
13,0;-3,88656243961826;-3,35035061929173
13,1;-3,54066222877655;-2,99601202618729
13,2;-3,14765093935866;-2,60193169254715
13,3;-2,71141407008377;-2,17215988008382
13,4;-2,23642393397991;-1,71122247782337
13,5;-1,72766923848394;-1,22404837861246
13,6;-1,19057727742485;-0,715891346035299
13,7;-0,630930215788737;-0,192247866986954
13,8;-0,0547770356737241;0,341227462129646
13,9;0,53165723302438;0,878807446871901
14,0;1,12206335166072;1,41477714648996
14,1;1,71013914727953;1,94351655127536
14,2;2,28967863181287;2,45957964379254
14,3;2,85465745030369;2,95776850341699
14,4;3,39931324648602;3,43320124049328
14,5;3,91821966469277;3,88137269600475
14,6;4,4063528611195;4,29820701140968
14,7;4,85914957132983;4,68010135736031
14,8;5,2725559705399;5,02396030520171
14,9;5,64306676436272;5,3272205270702
15,0;5,96775415582997;5,58786571459821
15,1;6,24428654504241;5,80443180820661
15,2;6,47093702614029;5,97600282434998
15,3;6,64658194794987;6,10219775269312
15,4;6,77068999537577;6,18314916514665
15,5;6,84330242439619;6,21947433045579
15,6;6,8650052407899;6,21223975855052
15,7;6,8368942483557;6,1629202055713
15,8;6,76053400378071;6,07335325139595
15,9;6,63791180046111;5,94569061523306
16,0;6,47138786108985;5,78234740067145
16,1;6,26364294795904;5,58595045938878
16,2;6,01762460060323;5,35928703307402
16,3;5,7364931832078;5,1052547771826
16,4;5,42356887033908;4,82681418968986
16,5;5,082280620835;4,52694436535804
16,6;4,7161180885002;4,20860287399557
16,7;4,32858729744529;3,87469042300148
16,8;3,92317077279187;3,52802081373302
16,9;3,50329266767034;3,17129654175418
17,0;3,07228926886603;2,80709022682614
17,1;2,63338510017945;2,43783189367594
17,2;2,18967467868947;2,06580196318831
17,3;1,74410981874154;1,69312965965802
17,4;1,29949222559925;1,32179639685304
17,5;0,858470979048818;0,953643577316684
17,6;0,423544380276068;0,5903841286468
17,7;-0,00293447389931509;0,233617010052198
17,8;-0,418749114250717;-0,115156145584256
17,9;-0,821808911145308;-0,454513133053124
18,0;-1,21013690920583;-0,783092917748089
18,1;-1,58185713626713;-1,09957791235745
18,2;-1,93518223089162;-1,40267764852341
18,3;-2,26840220056243;-1,69111464959815
18,4;-2,57987506670908;-1,96361323291377
18,5;-2,86802007448967;-2,21889187166215
18,6;-3,13131404686418;-2,45565963008237
18,7;-3,36829134655928;-2,67261705415816
18,8;-3,57754777910192;-2,86846175679287
18,9;-3,75774862861428;-3,04189878510833
19,0;-3,90764086922886;-3,19165570197346
19,1;-4,02606944271365;-3,31650215809044
19,2;-4,11199734120958;-3,41527357896288
19,3;-4,16452908690386;-3,48689844677746
19,4;-4,18293706192969;-3,53042852442425
19,5;-4,16669001555216;-3,54507125107934
19,6;-4,11548296525104;-3,53022343915775
19,7;-4,02926761676671;-3,48550532377766
19,8;-3,90828235822048;-3,41079396044015
19,9;-3,75308083723872;-3,30625493616003
20,0;-3,56455810922566;-3,17237135493964
20,1;-3,3439733505667;-3,00996908079726
20,2;-3,09296816299542;-2,82023727045286
20,3;-2,81357955437392;-2,6047433025092
20,4;-2,50824676582194;-2,36544130919733
20,5;-2,17981122396437;-2,10467363853659
20,6;-1,83150902792657;-1,82516471659373
20,7;-1,46695553091934;-1,53000693841151
20,8;-1,09012174264654;-1,22263838868045
20,9;-0,705302457739591;-0,906812375551745
21,0;-0,317076203024316;-0,586558949064197
21,1;0,0697427115520614;-0,266138765226996
21,2;0,450159561440687;0,0500101564804517
21,3;0,819061330899804;0,357332054896465
21,4;1,17128474788337;0,651218532835154
21,5;1,50168922124031;0,927078098507933
21,6;1,80523352243142;1,18040896106989
21,7;2,07705492620339;1,40687378761704
21,8;2,31254942105232;1,60237504329818
21,9;2,50745152367653;1,76312947826114
22,0;2,65791218421164;1,88574029668456
22,1;2,76057325249734;1,96726554527815
22,2;2,81263699092045;2,00528129182844
22,3;2,81192916680456;1,99793822840754
22,4;2,75695433646169;1,94401042785594
22,5;2,6469420427787;1,84293510453645
22,6;2,48188278679456;1,69484237894387
22,7;2,26255279869869;1,50057421775747
22,8;1,9905268220156;1,26169191302348
22,9;1,66817833286486;0,980471672566923
23,0;1,29866684006543;0,659888114287148
23,1;0,885912147074144;0,303585685221055
23,2;0,434555698607843;-0,0841617425078858
23,3;-0,0500906215937103;-0,49850261726941
23,4;-0,562107635024699;-0,934070090521196
23,5;-1,09504311564689;-1,38505412018207
23,6;-1,64199608185399;-1,84528218249278
23,7;-2,19570987330873;-2,30830730384724
23,8;-2,74867257303133;-2,76750197144598
23,9;-3,29322318103508;-3,21615635587868
24,0;-3,82166182072612;-3,64757918262721
24,1;-4,32636216595072;-4,05519952512903
24,2;-4,79988421708419;-4,43266776093106
24,3;-5,23508553031847;-4,77395393538482
24,4;-5,62522901600912;-5,07344181436431
24,5;-5,96408546953455;-5,32601697799819
24,6;-6,24602908081034;-5,527147410066
24,7;-6,46612428487458;-5,67295517051234
24,8;-6,62020246360748;-5,76027789885128
24,9;-6,70492718481326;-5,78671908085868
25,0;-6,71784686612996;-5,75068621617067
25,1;-6,65743397358176;-5,65141624608214
25,2;-6,52311010365506;-5,48898783449174
25,3;-6,31525654882947;-5,26432033584715
25,4;-6,03521020455472;-4,97915952724259
25,5;-5,68524493562371;-4,63605042260591
25,6;-5,26853877661403;-4,23829772034764
25,7;-4,78912758950008;-3,7899146572604
25,8;-4,25184603680426;-3,29556124645145
25,9;-3,66225694618126;-2,7604730616239
26,0;-3,02657033791683;-2,19038189049649
26,1;-2,35155355675069;-1,59142971349416
26,2;-1,64443409052584;-0,970077567560331
26,3;-0,912796767864497;-0,333010927182578
26,4;-0,164477103476019;0,312956725698115
26,5;0,592547398379889;0,960980464796508
26,6;1,35026616479305;1,60427896402477
26,7;2,10074290973026;2,23622643042822
26,8;2,83621969593027;2,85043992148684
26,9;3,54921606844513;3,44086066002285
27,0;4,23262174838857;4,0018281026988
27,1;4,87978152556128;4,52814568301148
27,2;5,48457116211136;5,01513733304648
27,3;6,04146331235543;5,45869408596135
27,4;6,54558267206926;5,85531026885521
27,5;6,99274978942141;6,20210900883271
27,6;7,37951319456749;6,49685698909061
27,7;7,70316973097968;6,73796860218794
27,8;7,96177319412673;6,92449984988474
27,9;8,15413159755862;7,05613252885733
28,0;8,27979358844166;7,13314941535188
28,1;8,33902472012299;7,15640131595592
28,2;8,33277445478505;7,12726698316409
28,3;8,26263491158199;7,04760700084184
28,4;8,13079249228894;6,91971282419299
28,5;7,93997360550699;6,74625221018449
28,6;7,69338577056178;6,5302122969921
28,7;7,39465541278656;6,27484158497987
28,8;7,04776366294068;5,98359203773571
28,9;6,65698144579296;5,66006246110571
29,0;6,22680508775038;5,30794423293898
29,1;5,76189359279081;4,93097034885317
29,2;5,26700863237226;4,53286862271741
29,3;4,74695817143588;4,11731973808991
29,4;4,20654451250489;3,68792069223483
29,5;3,65051738694861;3,24815401150827
29,6;3,0835325607105;2,80136294992197
29,7;2,51011625531958;2,35073271569257
29,8;1,93463551799189;1,89927760764289
29,9;1,36127451120739;1,44983378837649
30,0;0,794016536297655;1,0050572779034
30,1;0,236631461039089;0,56742662323793
30,2;-0,30733190856985;0,13924958940898
30,3;-0,834549084252723;-0,277326872155571
30,4;-1,34191944284009;-0,680304188784292
30,5;-1,82656279835388;-1,06781811900599
30,6;-2,2858137778819;-1,43812396398775
30,7;-2,71721480163272;-1,78958190253129
30,8;-3,11850846412564;-2,12064328234881
30,9;-3,48763008571922;-2,42983864480082
31,0;-3,82270115264899;-2,71576818263383
31,1;-4,12202429104474;-2,97709523263451
31,2;-4,38408032819177;-3,21254329014567
31,3;-4,60752788523548;-3,42089690311702
31,4;-4,79120582267914;-3,60100666319957
31,5;-4,93413872681142;-3,75179836401614
31,6;-5,03554548531045;-3,87228624601858
31,7;-5,09485085756801;-3,96159009723446
31,8;-5,11169980370367;-4,01895583367009
31,9;-5,08597419972537;-4,04377904603426
32,0;-5,01781143865793;-4,03563087445118
32,1;-4,90762430232022;-3,99428546333634
32,2;-4,75612138910831;-3,91974815765123
32,3;-4,56432730258317;-3,81228353193389
32,4;-4,33360174636857;-3,67244229692617
32,5;-4,0656566348253;-3,50108610683893
32,6;-3,76257031760889;-3,299409294277
32,7;-3,42679803036366;-3,06895658993224
32,8;-3,06117772365658;-2,81163594006398
32,9;-2,66893048737474;-2,52972561561063
33,0;-2,25365487713379;-2,22587491099726
33,1;-1,81931456109737;-1,90309785622184
33,2;-1,37021883773601;-1,56475950998693
33,3;-0,910995724679382;-1,21455456138492
33,4;-0,446557482690486;-0,856478139426834
33,5;0,0179413867300161;-0,494788909678759
33,6;0,477153450473626;-0,133964721347337
33,7;0,925594556461552;0,221348747908494
33,8;1,35770636482293;0,566395722664154
33,9;1,76792443710218;0,896373638334359
34,0;2,1507509579125;1,2065010721184
34,1;2,50083101296336;1,49208919939536
34,2;2,81303121532803;1,74861555760321
34,3;3,08251936167233;1,9717988019395
34,4;3,30484371498953;2,15767306556065
34,5;3,47601045271562;2,30266049344184
34,6;3,5925577908966;2,40364050519468
34,7;3,65162529767911;2,45801435879448
34,8;3,65101694346753;2,46376363454142
34,9;3,58925650061928;2,41950133619707
35,0;3,46563400182514;2,32451441295263
35,1;3,28024209194714;2,17879663990111
35,2;3,03400126100673;1,98307095358735
35,3;2,7286731235489;1,73880052001476
35,4;2,36686110850285;1,44818801170452
35,5;1,95199814015937;1,11416278410565
35,6;1,48832112080505;0,740355865564512
35,7;0,980832264367199;0,331062904639942
35,8;0,435247573359727;-0,108804550910273
35,9;-0,14206700643754;-0,573778842411098
36,0;-0,74417098274191;-1,05790623656024
36,1;-1,36363526839733;-1,55482618538802
36,2;-1,99263748090067;-2,05785859793682
36,3;-2,62306519226238;-2,56009774557304
36,4;-3,24662556491989;-3,05451128176593
36,5;-3,85495967018719;-3,53404274422908
36,6;-4,43975967704585;-3,99171582502824
36,7;-4,99288702342322;-4,42073864449586
36,8;-5,50648964126194;-4,81460624876779
36,9;-5,97311630175521;-5,16719956898264
37,0;-6,38582617846589;-5,47287913246071
37,1;-6,73829179328479;-5,72657190159771
37,2;-7,02489361219775;-5,92384973316962
37,3;-7,24080469278979;-6,06099809699111
37,4;-7,38206395080608;-6,13507386553018
37,5;-7,44563680577534;-6,14395118173743
37,6;-7,42946218197876;-6,08635462709811
37,7;-7,33248507672865;-5,96187914146508
37,8;-7,15467415841924;-5,77099638597871
37,9;-6,89702411723704;-5,51504748551942
38,0;-6,56154275668019;-5,19622233275544
38,1;-6,15122307895172;-4,81752587703066
38,2;-5,67000087669147;-4,38273205327357
38,3;-5,12269859235029;-3,89632622419611
38,4;-4,514956439971;-3,36343720898739
38,5;-3,853151997736;-2,78976014958606
38,6;-3,14430966930496;-2,18147161800269
38,7;-2,39600157413943;-1,54513849217626
38,8;-1,61624155871292;-0,887622221205806
38,9;-0,81337411939457;-0,215980161875171
39,0;0,00403990778373863;0,462634303759335
39,1;0,827339006252075;1,1410711655607
39,2;1,64787610929096;1,81228103174171
39,3;2,45713136573743;2,46940862946408
39,4;3,24682078058404;3,10588106505066
39,5;4,00899907747677;3,71548947738642
39,6;4,73615526688651;4,29246287084371
39,7;5,42129956668266;4,83153308797419
39,8;6,05804050731581;5,32799007337019
39,9;6,64065125772973;5,77772678428905
40,0;7,16412442604825;6,17727331640286
40,1;7,62421481635561;6,5238200297945
40,2;8,01746985471365;6,81522967644891
40,3;8,34124762910563;7,05003874143504
40,4;8,59372271450995;7,22744841135507
40,5;8,77388017120998;7,34730577133306
40,6;8,88149830743244;7,41007600205562
40,7;8,91712098253814;7,41680649782521
40,8;8,88202039077314;7,36908395240673
40,9;8,77815140505149;7,26898555936364
41,0;8,60809867299035;7,11902554592277
41,1;8,37501774168392;6,92209830314341
41,2;8,08257154237367;6,68141938992055
41,3;7,7348635908118;6,40046567440313
41,4;7,3363692539615;6,08291583468182
41,5;6,89186639963393;5,73259237263927
41,6;6,40636668426565;5,35340620278016
41,7;5,88504864742043;4,94930476431184
41,8;5,33319367242343;4,52422447283274
41,9;4,75612574394097;4,08204818118938
42,0;4,15915578883477;3,62656816117169
42,1;3,54753123008249;3,16145495272442
42,2;2,92639121901896;2,69023225937249
42,3;2,30072784278336;2,21625790172046
42,4;1,67535343584828;1,74271067924491
42,5;1,05487396096796;1,27258283803579
42,6;0,443668269753312;0,808677702280572
42,7;-0,154127089967164;0,353611903401134
42,8;-0,734627980484629;-0,0901784642950283
42,9;-1,29420826407093;-0,520428516424692
43,0;-1,82950153482026;-0,935032895565985
43,1;-2,33739971698784;-1,33203258477385
43,2;-2,81504929655101;-1,70960108135256
43,3;-3,25984597041167;-2,06603078119974
43,4;-3,66942849079278;-2,39972038616321
43,5;-4,0416724515371;-2,70916408575487
43,6;-4,37468470937328;-2,99294318199968
43,7;-4,66679905853068;-3,24972072444635
43,8;-4,91657368364102;-3,47823960418587
43,9;-5,1227908064159;-3,67732442427587
44,0;-5,28445881928955;-3,84588732274475
44,1;-5,40081706754425;-3,98293777708691
44,2;-5,47134330411;-4,087596269753
44,3;-5,4957637021147;-4,1591115465438
44,4;-5,47406517327443;-4,19688105795754
44,5;-5,40650960923057;-4,20047404121752
44,6;-5,2936495416968;-4,16965658150021
44,7;-5,13634460928279;-4,10441788807171
44,8;-4,93577812730069;-4,00499693751397
44,9;-4,69347298453083;-3,87190857442267
45,0;-4,41130604015062;-3,70596812180787
45,1;-4,09152016661859;-3,50831354028737
45,2;-3,73673308148335;-3,28042418779339
45,3;-3,34994213347754;-3,02413527005359
45,4;-2,93452425585677;-2,74164713607209
45,5;-2,49423037211998;-2,435528661114
45,6;-2,03317363474377;-2,10871407058014
45,7;-1,5558109945286;-1,76449268937468
45,8;-1,06691773417844;-1,40649125012933
45,9;-0,57155475190194;-1,03864855671281
46,0;-0,0750285457732534;-0,665182473198352
46,1;0,417155976399825;-0,29054938896225
46,2;0,899349557894282;0,0806035062974033
46,3;1,36581904086359;0,443492622355265
46,4;1,81081354093196;0,793258352241818
46,5;2,22863551970713;1,12503058375315
46,6;2,61371576955143;1,43399833113974
46,7;2,96069118410251;1,71548234605473
46,8;3,26448406681209;1,96500945479249
46,9;3,5203816314858;2,17838728109318
47,0;3,72411427630918;2,35177795279433
47,1;3,87193116844977;2,481769358274
47,2;3,96067166175409;2,56544251623574
47,3;3,9878310863957;2,60043365056634
47,4;3,95161949698724;2,58498962071775
47,5;3,85101204437058;2,51801544661328
47,6;3,68578974507913;2,39911278408026
47,7;3,45656955968299;2,22860835024998
47,8;3,16482285459255;2,00757146562517
47,9;2,812881508516;1,73782006742908
48,0;2,4039311312015;1,42191475377086
48,1;1,9419910844292;1,0631406360338
48,2;1,43188122913821;0,665477003338893
48,3;0,8791755634607;0,233555033351628
48,4;0,290143159460473;-0,227395986650305
48,5;-0,328322953397606;-0,711613240409123
48,6;-0,968788077523268;-1,2128748630733
48,7;-1,62336820876202;-1,72458322021236
48,8;-2,28383116702853;-2,23985570411492
48,9;-2,94170501153724;-2,75162160863366
49,0;-3,58839210029083;-3,25272351269138
49,1;-4,21528702643453;-3,73602150054107
49,2;-4,8138965686913;-4,19449847627122
49,3;-5,37595973157814;-4,62136479251626
49,4;-5,89356592500302;-5,01016040983551
49,5;-6,35926934297598;-5,35485283402683
49,6;-6,76619764761946;-5,6499291432917
49,7;-7,10815314677068;-5,89048051451182
49,8;-7,37970476984264;-6,07227778609766
49,9;-7,57626929515283;-6,19183675144526
50,0;-7,69418045988095;-6,24647205891618
